name,gender,race,herotype,alttype,rangetype,description,stats
Kareth,Male,Dryad,Support,Marksman,Melee,"A noble warrior from the Dryad lineage, known for unyielding defense.","{'hp_base': 682, 'hp_lvl': 88, 'mp_base': 0, 'mp_lvl': 31, 'armor_base': 30, 'armor_lvl': 2.6, 'attack_base': 59, 'attack_lvl': 3.6, 'speed': 345}"
Zepir,Non-binary,Voidborn,Marksman,Fighter,Ranged,"A mysterious warrior from the Voidborn lineage, known for unmatched strength.","{'hp_base': 517, 'hp_lvl': 110, 'mp_base': 411, 'mp_lvl': 30, 'armor_base': 26, 'armor_lvl': 4.3, 'attack_base': 65, 'attack_lvl': 3.1, 'speed': 325}"
Vexae,Non-binary,Targonian,Mage,Assassin,Ranged,"A mysterious warrior from the Targonian lineage, known for blazing speed.","{'hp_base': 639, 'hp_lvl': 100, 'mp_base': 432, 'mp_lvl': 0, 'armor_base': 22, 'armor_lvl': 2.9, 'attack_base': 48, 'attack_lvl': 3.6, 'speed': 345}"
Vexus,Male,Fireborn,Mage,Tank,Melee,"A ancient warrior from the Fireborn lineage, known for blazing speed.","{'hp_base': 618, 'hp_lvl': 87, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 20, 'armor_lvl': 4.5, 'attack_base': 68, 'attack_lvl': 3.1, 'speed': 330}"
Nirith,Non-binary,Vastayan,Tank,Assassin,Ranged,"A noble warrior from the Vastayan lineage, known for stealth tactics.","{'hp_base': 560, 'hp_lvl': 113, 'mp_base': 314, 'mp_lvl': 0, 'armor_base': 21, 'armor_lvl': 3.7, 'attack_base': 69, 'attack_lvl': 2.9, 'speed': 325}"
Zulax,Non-binary,Fireborn,Marksman,Tank,Ranged,"A mysterious warrior from the Fireborn lineage, known for stealth tactics.","{'hp_base': 659, 'hp_lvl': 102, 'mp_base': 0, 'mp_lvl': 44, 'armor_base': 31, 'armor_lvl': 4.2, 'attack_base': 55, 'attack_lvl': 2.6, 'speed': 345}"
Mythir,Female,Targonian,Assassin,Support,Melee,"A powerful warrior from the Targonian lineage, known for blazing speed.","{'hp_base': 575, 'hp_lvl': 91, 'mp_base': 0, 'mp_lvl': 36, 'armor_base': 19, 'armor_lvl': 3.8, 'attack_base': 64, 'attack_lvl': 3.7, 'speed': 345}"
Zepiel,Non-binary,Skyborne,Mage,Assassin,Ranged,"A mysterious warrior from the Skyborne lineage, known for arcane mastery.","{'hp_base': 644, 'hp_lvl': 97, 'mp_base': 308, 'mp_lvl': 0, 'armor_base': 28, 'armor_lvl': 4.0, 'attack_base': 62, 'attack_lvl': 2.9, 'speed': 340}"
Veliel,Non-binary,Celestian,Mage,Tank,Melee,"A mysterious warrior from the Celestian lineage, known for unmatched strength.","{'hp_base': 627, 'hp_lvl': 103, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 26, 'armor_lvl': 4.2, 'attack_base': 68, 'attack_lvl': 3.7, 'speed': 345}"
Zulyx,Non-binary,Golemkin,Assassin,Mage,Melee,"A mysterious warrior from the Golemkin lineage, known for unyielding defense.","{'hp_base': 662, 'hp_lvl': 92, 'mp_base': 0, 'mp_lvl': 46, 'armor_base': 24, 'armor_lvl': 3.3, 'attack_base': 60, 'attack_lvl': 2.8, 'speed': 340}"
